symbol,company,sector,source,fiscal_year,status,fcff_2025_m,fcff_2024_m,fcff_2023_m,ebit_m,dna_m,delta_nwc_m,capex_m,roic_nopat_m,ic_current_m,ic_prior_m,avg_ic_m,roic_pct,rf_pct,beta,erp_pct,ke_pct,interest_exp_m,icr,rating,spread_pct,kd_pretax_pct,kd_aftertax_pct,market_cap_b,total_debt_b,equity_weight_pct,debt_weight_pct,wacc_pct
REDC,Repower Energy Development Corporation,Industrial,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
REG,Republic Glass Holdings Corporation,Holding Firms,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
RFM,RFM Corporation,Industrial,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
RLC,Robinsons Land Corporation,Property,Yahoo (RBLAY),2025-12-31,PARTIAL,22301.3536275,15271.32549475,15942.607701,19621.37331,6077.356763,-12057.835872,10549.86899,14716.0299825,207808.067809,202070.757503,204939.412656,7.1806734447909815,7.706,,6.69,,2204.212452,8.901761394277797,Aaa/AAA,0.4,8.106,6.0795,90.42927097536,43.248857097,67.6470207051453,32.35297929485472,
RLT,Philippine Realty and Holdings Corp.,Property,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
ROCK,Rockwell Land Corporation,Property,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
ROX,"Roxas Holdings, Inc.",Industrial,Reuters (ROX.PS),Reuters,OK,2171.585,-55.41,612.2225,1659.46,384.87,-633.66,91.54,1244.595,10008.64,10304.87,10156.755,12.253864546304404,7.706,376.96,6.69,2529.5683999999997,362.44,4.578578523341794,A2/A,0.7799999999999999,8.486,6.3645000000000005,2.4,4.94717,32.66563860642941,67.33436139357059,830.5851672773325
RRHI,"Robinsons Retail Holdings, Inc.",Services,Yahoo (RRETY),2025-12-31,OK,-2946.39591325,10643.54060825,8428.88246525,11683.033809,7594.162696,13708.132848,5594.701118,8762.27535675,122894.635187,121731.046877,122312.841032,7.163822933732343,7.706,0.32,6.69,9.8468,3698.416203,3.1589288948937693,A3/A-,0.89,8.596,6.447,38.475455547136,65.577407236,36.976835156689006,63.023164843310994,7.704138441657113
SBS,SBS Philippines Corporation,Services,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
SCC,Semirara Mining and Power Corporation,Industrial,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
SECB,Security Bank Corporation,Financials,Yahoo (SYBJF),2025-12-31,PARTIAL,,,,,,,,,,,,,7.706,0.562,6.69,11.46578,27071.237,,,,,,47.037604715648,,100.0,,11.46578
SEVN,Philippine Seven Corporation,Services,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
SFI,"Swift Foods, Inc.",Industrial,Reuters (SFI.PS),Reuters,PARTIAL,,,,,,,,,,,,,7.706,0.49,6.69,10.9841,2.49,,,,,,0.0909,,100.0,,10.9841
SGI,"Solid Group, Inc.",Holding Firms,Reuters (SGI.PS),Reuters,OK,111.965,458.3775,449.6575,882.9,98.19,556.5,91.9,662.175,11267.74,10272.78,10770.26,6.148180266771647,7.706,0.49,6.69,10.9841,45.71,19.31524830452855,Aaa/AAA,0.4,8.106,6.0795,2.4,0.8789,73.19527890451066,26.80472109548934,9.66943564915063
SGP,"Synergy Grid & Development Phils., Inc.",Industrial,Reuters (SGP.PS),Reuters,OK,-7122.6525,-33470.9525,-31482.7075,58241.73,875.85,-1813.84,53493.64,43681.2975,379802.76,332314.2,356058.48,12.26801212542389,7.706,0.41,6.69,10.4489,10353.21,5.625475577139843,A1/A+,0.7000000000000001,8.406,6.3045,157.2,260.40423,37.643296860283236,62.356703139716764,7.864588795077579
SHLPH,Shell Pilipinas Corporation,Industrial,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
SHNG,"Shang Properties, Inc.",Property,Reuters (SHNG.PS),Reuters,OK,2900.3775,4470.305,3719.355,4141.05,417.51,519.4,103.52,3105.7875,71646.4,68002.15,69824.275,4.448005367760711,7.706,0.09,6.69,8.3081,1520.18,2.7240524148456102,Baa2/BBB,1.11,8.816,6.612,15.2,19.095,44.32132963988919,55.67867036011081,7.36373407202216
SLF,Sun Life Financial Inc.,Financials,Yahoo (SLFIF),2025-12-31,INCOMPLETE,,,,,,,,,,,,,7.706,0.817,6.69,13.17173,526.0,,,,,,,,,,
SLI,"Sta. Lucia Land, Inc.",Property,Reuters (SLI.PS),Reuters,OK,-120.5725,4940.11,4516.44,7548.89,31.8,5789.03,25.01,5661.6675,51776.62,47386.46,49581.54,11.418902075248168,7.706,0.32,6.69,9.8468,1851.7,4.0767348922611655,A3/A-,0.89,8.596,6.447,17.3,25.01392,40.88489083497818,59.11510916502182,7.837004518607587
SM,SM Investments Corporation,Holding Firms,Yahoo (SVTMF),2025-12-31,OK,117805.5,89473.75,84578.25,105498.0,27696.0,-21605.0,10619.0,79123.5,1143419.0,1051738.0,1097578.5,7.208914897658801,7.706,0.526,6.69,11.22494,21778.0,4.844246487280742,A2/A,0.7799999999999999,8.486,6.3645000000000005,736.8645948190721,550.008,57.26010467436146,42.73989532563854,9.147593031634534
